[2022-07-14 08:59:15:0178] | Info     | DepthConvertVm.cpp       -L0106: [CDepthConvertVm::Init] m_stBinoMemTab[0].size[384], m_stBinoMemTab[1].size[0].
[2022-07-14 08:59:15:0178] | Info     | DepthConvertVm.cpp       -L0158: [CDepthConvertVm::Init] MVB3D_BINOSTEREO_Create success.
[2022-07-14 08:59:15:0178] | Info     | DepthConvertVm.cpp       -L0169: [CDepthConvertVm::Init] end.
[2022-07-14 08:59:15:0262] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [3].
[2022-07-14 08:59:15:0277] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [4].
[2022-07-14 08:59:15:0404] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [5].
[2022-07-14 08:59:15:0548] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [6].
[2022-07-14 08:59:15:0691] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [7].
[2022-07-14 08:59:15:0832] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [8].
[2022-07-14 08:59:15:0973] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [9].
[2022-07-14 08:59:16:0116] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [10].
[2022-07-14 08:59:16:0258] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [11].
[2022-07-14 08:59:16:0399] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [12].
[2022-07-14 08:59:16:0542] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [13].
[2022-07-14 08:59:16:0685] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [14].
[2022-07-14 08:59:16:0828] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [15].
[2022-07-14 08:59:16:0971] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [16].
[2022-07-14 08:59:17:0111] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [17].
[2022-07-14 08:59:17:0256] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [18].
[2022-07-14 08:59:17:0397] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [19].
[2022-07-14 08:59:17:0538] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [20].
[2022-07-14 08:59:17:0682] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [21].
[2022-07-14 08:59:17:0824] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [22].
[2022-07-14 08:59:17:0965] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [23].
[2022-07-14 08:59:18:0109] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [24].
[2022-07-14 08:59:18:0253] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [25].
[2022-07-14 08:59:18:0396] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [26].
[2022-07-14 08:59:18:0537] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [27].
[2022-07-14 08:59:18:0677] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [28].
[2022-07-14 08:59:18:0821] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [29].
[2022-07-14 08:59:18:0962] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [30].
[2022-07-14 08:59:19:0106] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [31].
[2022-07-14 08:59:19:0247] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [32].
[2022-07-14 08:59:19:0389] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [33].
[2022-07-14 08:59:19:0531] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [34].
[2022-07-14 08:59:19:0674] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [35].
[2022-07-14 08:59:19:0814] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [36].
[2022-07-14 08:59:19:0955] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [37].
